filepath,label,mic_type
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_019.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_592.wav,desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_573.wav,desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_591.wav,desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_530.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_592.wav,desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_180.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_212.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_095.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_141.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_522.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_253.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_364.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_017.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_025.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_509.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_015.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E2_Micrófono2 (condensador)\limpio_broca_6_2_590.wav,desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_021.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_378.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_305.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_224.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_171.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_460.wav,medianamente_desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_408.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_570.wav,desgastado,condensador
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_108.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\6mm_A100\E1_Micrófono2 (condensador)\limpio_broca6_1_029.wav,sin_desgaste,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02117.wav,desgastado,dinamico
D:\dataset\Con falla\6mm_A100\E2_Micrófono2 (condensador)\broca_6_2_438.wav,medianamente_desgastado,condensador
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02116.wav,desgastado,dinamico
